应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
学法减分秒搜宝,手机(平板可下载),汽车,2025/08/04,东莞市天创科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.tcznkj.hmxfjfmsb
手机定位查找软件,手机和平板,出行导航,2025/08/04,武汉市射手科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zfc.findlocation.harmonyapp
转盘决定器,手机(平板可下载),工具,2025/08/04,隆回一品阁装饰有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=fegu.saqi.qlle
7726乐园,手机(平板可下载),工具,2025/08/04,长沙聚云范信息科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=jufss.qqel.ssvca
启运签,手机(平板可下载),工具,2025/08/04,软通动力信息技术（集团）股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.qiyunqian
在线测评,手机和平板,工具,2025/08/04,深圳市永兴元科技股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.longrise.onlineappraisal
U酸记,手机(平板可下载),工具,2025/08/04,深圳市思珀科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sipolive.piaoling
Songs AI,手机和平板,工具,2025/08/04,安徽平头哥在线信息技术有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ahptg.songs.hos
风芒,手机(平板可下载),影视与直播,2025/08/04,湖南风芒传媒有限公司,重新上架,https://appgallery.huawei.com/app/detail?id=com.fm.djhm
秦务员,手机和平板,生活服务,2025/08/04,陕西省政务大数据服务中心,,https://appgallery.huawei.com/app/detail?id=com.ccbfintech.gasp.shaanxiProvince
青蓝程序员工具箱,手机和电脑(平板可下载),工具,2025/08/04,长沙奕欢互联网有限公司,新增手机端适配,https://appgallery.huawei.com/app/detail?id=com.qlzm.qlzmtoolbox
贵政通,手机、平板和电脑,社交,2025/08/04,云上贵州大数据产业发展有限公司,,https://appgallery.huawei.com/app/detail?id=com.gzt.gz.cegn.cn.hmos
CAJViewer,平板和电脑,商务,2025/08/04,同方知网数字出版技术股份有限公司,新增平板端适配,https://appgallery.huawei.com/app/detail?id=net.cnki.oh_cajviewer
KeePassHO,手机和平板,工具,2025/08/03,刘军光,,https://appgallery.huawei.com/app/detail?id=com.aimilin.keepassho
地震预警地震速报,手机(平板可下载),生活服务,2025/08/02,南京中科译讯信息科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.zhongke.earthhm
优派超,手机、平板和电脑,购物,2025/08/02,海南优选石油石化设备有限公司,,https://appgallery.huawei.com/app/detail?id=net.upetrol.huawei
手机模拟定位,手机(平板可下载),工具,2025/08/02,上海同冰双网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.tongbingshuang.mngpshm
储电宝,手机(平板可下载),工具,2025/08/02,徐周,,https://appgallery.huawei.com/app/detail?id=com.lernercom.emsneutral
合肥城投,手机和平板,商务,2025/08/02,安徽数智建造研究院有限公司,,https://appgallery.huawei.com/app/detail?id=com.ctcemti.hfct.arkts.app
一键收图,手机和平板,工具,2025/08/02,珠海市木霖科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.chu.imagecollectionhos
人才通,手机和平板,工具,2025/08/02,工业和信息化部人才交流中心,,https://appgallery.huawei.com/app/detail?id=com.hsy.rencaitong
小新慧眼,手机和平板,工具,2025/08/02,上海宏弈源软件科技有限公司,,https://appgallery.huawei.com/app/detail?id=cn.xbkids.smart_eye
卡帝手机控车,手机和平板,工具,2025/08/02,佛山市卡帝汽车电子有限公司,,https://appgallery.huawei.com/app/detail?id=com.app.kadi
冰城+,手机(平板可下载),新闻,2025/08/01,哈尔滨日报社,,https://appgallery.huawei.com/app/detail?id=com.cmstop.harbinicecityplus
格林大华智赢,手机(平板可下载),金融理财,2025/08/01,格林大华期货有限公司,,https://appgallery.huawei.com/app/detail?id=com.gelindahua.boyihm
小刀智行,手机(平板可下载),出行导航,2025/08/01,小刀新能源科技股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.xdaoebike.smartbike.hw
奥集能,手机(平板可下载),商务,2025/08/01,杭州好好科创有限公司,,https://appgallery.huawei.com/app/detail?id=com.github.orginoneohos
HW CloudLink,手机和平板,商务,2025/08/01,软通动力信息技术（集团）股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.isoftstone.hwcloudlink
实时天气象预报,手机和平板,生活服务,2025/08/01,广州星广科技有限公司,,https://appgallery.huawei.com/app/detail?id=jhtwo.onetheone.comhm
O吧,手机(平板可下载),生活服务,2025/08/01,成都火麦科技有限公司,,https://appgallery.huawei.com/app/detail?id=zmsoft.rest.paipai.huawei
彬宏智慧校园,手机和平板,教育,2025/08/01,四川省美程天下科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.BHZHxiaoyuan.HUAWEI
美颜P图相机,手机和平板,拍摄美化,2025/08/01,杭州韩米网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.md.hm.myptxj
更济宁,手机(平板可下载),新闻,2025/08/01,济宁广播电视台,,https://appgallery.huawei.com/app/detail?id=gjn.app.com
球球体育,手机和平板,社交,2025/08/01,深圳市彩娱互动科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.caiyu.qqtyhap
Kim,手机和平板,商务,2025/08/01,北京轻雀科技有限公司,,https://appgallery.huawei.com/app/detail?id=cn.qingque.kim
轻氧相机,手机和平板,拍摄美化,2025/08/01,杭州乔米网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.qm.hm.qyxj
普拉提运动,手机和平板,运动健康,2025/08/01,苏州轻闪计划科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.wtp.wthmpilates
康悦到家,手机(平板可下载),运动健康,2025/08/01,重庆知君澜健康管理有限公司,,https://appgallery.huawei.com/app/detail?id=com.kangyue.app
期货开户云,手机和平板,金融理财,2025/08/01,中国期货市场监控中心有限责任公司,,https://appgallery.huawei.com/app/detail?id=com.cfmmc.ficaos
邮e行,手机和平板,金融理财,2025/08/01,中邮人寿保险股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.chinapost.life.yex
电子钥匙,手机(平板可下载),工具,2025/08/01,广州星广科技有限公司,,https://appgallery.huawei.com/app/detail?id=sjnfc.com.hm
学法减分免费搜题,手机(平板可下载),工具,2025/08/01,深圳市成汇智能科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.chznai.hmdplm
老花放大镜,手机(平板可下载),工具,2025/08/01,南京唯枭文化传媒有限公司,,https://appgallery.huawei.com/app/detail?id=com.nanjingweixiao.ztfdhm
食品安全监管,手机和平板,商务,2025/08/01,河北华烨冀科信息技术有限责任公司,,https://appgallery.huawei.com/app/detail?id=com.hyjk.hys.spaqjg
数字通DAP,手机和平板,商务,2025/08/01,中科数字通（北京）科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.szt.dap
图片小工具,手机(平板可下载),工具,2025/08/01,软通动力信息技术（集团）股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.isoftstone.tupianxiaogongju
作业小清单,手机(平板可下载),工具,2025/08/01,软通动力信息技术（集团）股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.isoftstone.zuoyexiaoqingda
安心工地记工记账,手机和平板,工具,2025/08/01,上海安又心人力资源有限公司,,https://appgallery.huawei.com/app/detail?id=com.julanling.gdjgjzhm
地瓜阁,手机和平板,购物,2025/08/01,临沂瓜阁网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.app.diguage
创度技师端,手机和平板,工具,2025/08/01,创度软件科技(上海)有限公司,,https://appgallery.huawei.com/app/detail?id=com.shcd.staffhm
轻触名,手机和平板,工具,2025/08/01,孙天雨,,https://appgallery.huawei.com/app/detail?id=com.huawei.qingchucard
涂鸦,手机和平板,工具,2025/07/31,杭州涂鸦信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.tuya.smartiot.hm
盛京银行,手机(平板可下载),金融理财,2025/07/31,盛京银行股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.shengjingbank.mobilebank
三沙卫视,手机(平板可下载),新闻,2025/07/31,三沙综合频道（三沙卫视）,,https://appgallery.huawei.com/app/detail?id=tv.ssws.sstv
换机克隆,手机和平板,工具,2025/07/31,荣耀终端有限公司,荣耀应用,https://appgallery.huawei.com/app/detail?id=com.honor.hmos.clone
吉祥老黄历,手机(平板可下载),生活服务,2025/07/31,南京奇奥拉信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.lala.weather
糖果空间,手机和平板,社交,2025/07/31,长沙糖优科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.sheguo.tgkj
银河期货开户交易,手机(平板可下载),金融理财,2025/07/31,银河期货有限公司,,https://appgallery.huawei.com/app/detail?id=com.qihuo.yinhehm
园区智慧通行,手机和平板,工具,2025/07/31,三一集团有限公司,,https://appgallery.huawei.com/app/detail?id=com.sany.ils
糖果工厂,手机和平板,儿童,2025/07/31,宝宝巴士股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.sinyee.babybus.candy.hos
手机尺子工程测量,手机(平板可下载),工具,2025/07/31,上海宋和悌网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.shtwlh.celiangyihm
风险预控,手机(平板可下载),工具,2025/07/31,河北云酷科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.ykkj.aqqgcgkHM
柠檬社区,手机(平板可下载),生活服务,2025/07/31,河北银合科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.inhehm.lemon
计算器Online,手机(平板可下载),工具,2025/07/31,南京禄存网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.lxz.mmjsqhm
百宝箱,手机(平板可下载),工具,2025/07/31,长沙晨语莱信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=cylxx.bbxh.katt
三联老板报表,手机和平板,工具,2025/07/31,厦门三联软件股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.sanlian.boss_harmony
森果批发易,手机(平板可下载),商务,2025/07/31,武汉小果科技有限公司,,https://appgallery.huawei.com/app/detail?id=cc.senguo.harmonysecretary
井唐,手机和平板,工具,2025/07/31,杭州井唐文化传媒有限公司,,https://appgallery.huawei.com/app/detail?id=uni.app.UNI473102C
小镜子Pro美妆自拍,手机(平板可下载),工具,2025/07/31,南京今日水印相机网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=cn.jinrishuiyin.jzhm
京东,手机和平板,购物,2025/07/30,北京京东世纪贸易有限公司,此前已上架手机端，此次新增平板端分发,https://appgallery.huawei.com/app/detail?id=com.jd.hm.mall
粉笔教师,手机、平板和电脑,教育,2025/07/30,北京粉笔蓝天科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.fenbi.zhaojiao
MUJI无印良品,手机(平板可下载),购物,2025/07/30,无印良品（上海）商业有限公司,,https://appgallery.huawei.com/app/detail?id=com.muji.mainlandapp
doorzo日淘,手机(平板可下载),购物,2025/07/30,成都西格塞维斯科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.rym.doornewhm
多宝视训练系统,手机和平板,医疗,2025/07/30,广州视景医疗软件有限公司,,https://appgallery.huawei.com/app/detail?id=cn.topeye.dobosoTrain
数字尾巴,手机和平板,社交,2025/07/30,深圳市数字尾巴科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.dgtle.app
国泰海通道合,手机和平板,金融理财,2025/07/30,国泰海通证券股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.gtja.vintex.hm.next
红布林,手机(平板可下载),购物,2025/07/30,致美生活（北京）科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.aplum.harmonyapp
融易费控,手机和平板,商务,2025/07/30,用友金融信息技术股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.yonyou.fintech.ryb
和乐宝典,手机(平板可下载),购物,2025/07/30,四川金网通电子科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.hele.door
诗词鉴赏,手机和平板,教育,2025/07/30,徐方舟,,https://appgallery.huawei.com/app/detail?id=com.xuxuxuxu.sc
DACS,手机、平板和电脑,商务,2025/07/30,数篷科技（深圳）有限公司,,https://appgallery.huawei.com/app/detail?id=com.datacloak.hos.dacs
智慧高争,手机和平板,商务,2025/07/30,成都思为交互科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.gaozheng.ga_os
曼曼涂鸦,手机(平板可下载),艺术与设计,2025/07/30,武汉曼衍科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.whmanyan.graffiti
条形码批量生成,手机(平板可下载),商务,2025/07/30,广州市抓哇网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.zhuawa.linecode.harm
车辆抢单平台,手机和平板,工具,2025/07/30,中汇软件（山东）股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.example.qiangdanHarmonyOS
墨有引力,手机(平板可下载),工具,2025/07/29,中邮通信设备有限公司,此前已上架手机端，此次新增平板端分发,https://appgallery.huawei.com/app/detail?id=com.ptac.porink
悟空图像,平板和电脑,工具,2025/07/29,北京亦心科技有限公司,此前已上架电脑端,https://appgallery.huawei.com/app/detail?id=com.photosir.himirage
智能生活,手机和平板,工具,2025/07/29,杭州涂鸦信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.tuya.smartlifeiot.hm
安心养老,手机和平板,生活服务,2025/07/29,中国建设银行股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.ccbft.mobile.easyagedlife.os
微商水印相机,手机(平板可下载),拍摄美化,2025/07/29,上海弥初柔网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.chaoyoutek.weishanghm
掌上万年历,手机(平板可下载),生活服务,2025/07/29,上海邱听荷网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=cn.juronghaimiao.weatherhm
公牛星球,手机和平板,社交,2025/07/29,广东科德投资顾问有限公司,,https://appgallery.huawei.com/app/detail?id=com.yike.xingqiu
中宏保险MOVE,手机(平板可下载),运动健康,2025/07/29,中宏人寿保险有限公司,,https://appgallery.huawei.com/app/detail?id=com.msl.hos.move
全景卫星实时导航,手机(平板可下载),出行导航,2025/07/29,合肥一七读科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.ijvwj.hqccwtk
移动报账,手机和平板,商务,2025/07/29,远光软件股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.ygsoft.ydyw.reimbursement
